procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6097960 142260 7264236    0    0     0   112 2727 5322  1  0 99  0  0
 0  0      0 6098464 142260 7264260    0    0     0    18 2466 5077  1  0 99  0  0
 0  0      0 6097236 142260 7264300    0    0     0   526 3763 6922  1  1 96  2  0
 0  0      0 6099024 142260 7264284    0    0     0    14 2850 5571  0  0 99  0  0
 0  0      0 6099032 142260 7264284    0    0     0    16 2783 5491  1  0 99  0  0
 1  0      0 6099284 142260 7264292    0    0     0    89 2671 5367  0  0 99  0  0
 0  0      0 6098780 142260 7264304    0    0     0    71 2807 5454  1  0 99  0  0
 0  0      0 6098544 142260 7264244    0    0     0    16 2645 5411  1  0 99  0  0
 0  0      0 6098528 142260 7264332    0    0     0    76 2635 5282  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6098308 142260 7264332    0    0     0    18 2788 5485  0  0 99  0  0
 0  0      0 6098308 142260 7264464    0    0     0    87 2843 5537  1  0 99  0  0
 0  0      0 6098324 142260 7264456    0    0     0    13 2760 5402  0  0 99  0  0
 0  0      0 6098324 142260 7264456    0    0     0    66 2768 5468  0  0 99  0  0
 0  0      0 6098260 142260 7264460    0    0     0    48 2720 5387  0  0 99  0  0
 0  0      0 6095984 142260 7264564    0    0     0   522 4108 7359  1  1 96  2  0
 0  0      0 6097040 142260 7264536    0    0     0    14 2785 5469  0  0 99  0  0
 0  0      0 6097040 142260 7264540    0    0     0    17 2768 5460  0  0 99  0  0
 1  0      0 6097040 142260 7264500    0    0     0    85 2666 5482  0  0 99  0  0
 0  0      0 6097324 142260 7264504    0    0     0    66 2828 5506  0  0 99  0  0
 0  0      0 6097308 142260 7264516    0    0     0    41 2585 5346  0  0 99  0  0
 0  0      0 6097592 142260 7264504    0    0     0    20 2740 5699  1  0 99  0  0
 0  0      0 6097624 142260 7264508    0    0     0    15 2541 5219  0  0 99  0  0
 0  0      0 6097656 142260 7264512    0    0     0    17 2757 5447  0  0 99  0  0
 2  0      0 6097656 142260 7264532    0    0     0    15 2790 5485  0  0 99  0  0
 0  0      0 6097624 142260 7264512    0    0     0    34 2667 5373  0  0 99  0  0
 0  0      0 6097656 142260 7264524    0    0     0    88 2595 5283  0  0 99  0  0
 2  0      0 6095516 142260 7264624    0    0     0   528 4150 7458  1  1 96  1  0
 0  0      0 6097824 142260 7264624    0    0     0    18 2737 5431  0  0 99  0  0
 0  0      0 6097824 142260 7264636    0    0     0    18 2634 5292  1  0 99  0  0
 0  0      0 6097856 142260 7264640    0    0     0    97 2675 5346  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6097636 142260 7264652    0    0     0    74 2687 5361  1  0 99  0  0
 0  0      0 6097288 142260 7264744    0    0     0    44 2617 5343  0  0 99  0  0
 0  0      0 6097336 142260 7264668    0    0     0    73 2697 5469  0  0 99  0  0
 0  0      0 6097336 142260 7264668    0    0     0    22 2813 5506  0  0 99  0  0
 0  0      0 6097352 142260 7264672    0    0     0    93 2822 5491  1  0 99  0  0
 0  0      0 6097360 142260 7264672    0    0     0    20 2827 5537  0  0 99  0  0
 0  0      0 6097360 142260 7264680    0    0     0    32 2615 5296  0  0 99  0  0
 0  0      0 6096856 142260 7264680    0    0     0    16 2689 5378  1  0 99  0  0
 0  0      0 6095408 142260 7264724    0    0     0   577 4127 7294  1  1 95  2  0
 0  0      0 6097220 142260 7264684    0    0     0    21 2583 5189  0  0 99  0  0
 0  0      0 6097472 142260 7264668    0    0     0    18 2561 5126  1  0 99  0  0
 0  0      0 6097472 142260 7264672    0    0     0    16 2407 4996  0  0 99  0  0
 0  0      0 6097472 142260 7264680    0    0     0    18 2628 5199  1  0 99  0  0
 2  0      0 6097472 142260 7264676    0    0     0    14 2569 5148  0  0 99  0  0
 0  0      0 6097724 142260 7264680    0    0     0    62 2655 5225  0  0 99  0  0
 0  0      0 6097756 142260 7264692    0    0     0    26 2642 5294  0  0 99  0  0
 0  0      0 6097724 142260 7264688    0    0     0    31 2602 5208  0  0 99  0  0
 0  0      0 6097732 142260 7264708    0    0     0    95 2574 5148  0  0 99  0  0
 1  0      0 6097732 142260 7264700    0    0     0    34 2633 5237  0  0 99  0  0
 0  0      0 6097984 142260 7264700    0    0     0    15 2612 5257  0  0 99  0  0
 0  0      0 6096284 142260 7264796    0    0     0   566 4018 7193  1  1 96  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6098040 142260 7264768    0    0     0    21 2660 5289  0  0 99  0  0
 2  0      0 6097852 142260 7264776    0    0     0    62 2547 5147  0  0 99  0  0
 0  0      0 6098396 142260 7264812    0    0     0    25 2582 5209  1  0 99  0  0
 0  0      0 6098152 142260 7264808    0    0     0    15 2686 5304  0  0 99  0  0
 0  0      0 6098144 142260 7264768    0    0     0    92 2624 5183  0  0 99  0  0
 0  0      0 6098080 142260 7264772    0    0     0    16 2763 5422  0  0 99  0  0
 0  0      0 6098112 142260 7264776    0    0     0    17 2605 5185  1  0 99  0  0
 0  0      0 6098364 142260 7264772    0    0     0    14 2619 5213  0  0 99  0  0
 0  0      0 6098112 142260 7264784    0    0     0    86 2633 5233  0  0 99  0  0
 0  0      0 6097860 142260 7264788    0    0     0    32 2772 5367  1  0 99  0  0
 0  0      0 6097796 142260 7264784    0    0     0    17 2626 5284  0  0 99  0  0
 0  2      0 6095856 142260 7264708    0    0     0   457 3983 7328  1  1 97  1  0
 0  0      0 6097488 142260 7264796    0    0     0    91 2747 5349  1  0 99  0  0
 0  0      0 6097236 142260 7264772    0    0     0    17 2809 5566  1  0 99  0  0
 0  0      0 6097244 142260 7264776    0    0     0    71 2630 5210  1  0 99  0  0
 0  0      0 6097244 142260 7264796    0    0     0    15 2711 5352  1  0 99  0  0
 0  0      0 6097244 142260 7264792    0    0     0    87 2685 5300  0  0 99  0  0
 1  0      0 6097244 142260 7264808    0    0     0    14 2532 5102  0  0 99  0  0
 3  0      0 6096992 142260 7264792    0    0     0    16 2676 5250  0  0 99  0  0
 0  0      0 6096992 142260 7264804    0    0     0    14 2549 5201  1  0 99  0  0
 0  0      0 6097244 142260 7264804    0    0     0    17 2716 5290  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6097056 142260 7264808    0    0     0    33 2634 5227  1  0 99  0  0
 0  0      0 6097308 142260 7264808    0    0     0    38 2560 5176  0  0 99  0  0
 0  0      0 6095696 142260 7264968    0    0     0   165 3796 7033  1  1 98  0  0
 0  0      0 6100028 142260 7265012    0    0     0   407 3057 5744  1  0 97  2  0
 0  0      0 6100028 142260 7265012    0    0     0    15 2544 5196  1  0 99  0  0
 0  0      0 6100028 142260 7265028    0    0     0    84 2652 5402  0  0 99  0  0
 0  0      0 6099996 142260 7265028    0    0     0    14 2490 5207  1  0 99  0  0
 0  0      0 6099996 142260 7265036    0    0     0    17 2523 5120  0  0 99  0  0
 0  0      0 6105240 142260 7265044    0    0     0    14 2669 5539  0  0 99  0  0
 0  0      0 6104720 142260 7265080    0    0     0    15 2655 5253  0  0 99  0  0
 0  0      0 6104972 142260 7265064    0    0     0    88 2614 5188  0  0 99  0  0
 0  0      0 6104996 142260 7265044    0    0     0    18 2671 5234  0  0 99  0  0
 0  0      0 6104744 142260 7265044    0    0     0    32 2732 5388  0  0 99  0  0
 0  0      0 6104524 142260 7265048    0    0     0    15 2666 5307  1  0 99  0  0
 1  0      0 6103192 142260 7265060    0    0     0   107 2849 5461  1  0 99  0  0
 1  0      0 6103588 142260 7265080    0    0     0   482 3883 6896  1  1 97  1  0
 0  0      0 6103556 142260 7265072    0    0     0    17 2680 5241  1  0 99  0  0
 0  0      0 6103588 142260 7265076    0    0     0    72 2757 5304  0  0 99  0  0
 0  0      0 6103588 142260 7265080    0    0     0    14 2588 5144  0  0 99  0  0
 0  0      0 6103840 142260 7265076    0    0     0    85 2575 5126  0  0 99  0  0
 0  0      0 6103840 142260 7265100    0    0     0    16 2572 5176  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6104092 142260 7265092    0    0     0    81 2541 5214  0  0 99  0  0
 0  0      0 6103808 142260 7265092    0    0     0    15 2679 5404  0  0 99  0  0
 0  0      0 6103808 142260 7265092    0    0     0    72 2581 5262  0  0 99  0  0
 0  0      0 6103588 142260 7265100    0    0     0    34 2596 5266  0  0 99  0  0
 0  0      0 6103580 142260 7265100    0    0     0    14 2651 5278  0  0 99  0  0
 0  0      0 6103604 142260 7265160    0    0     0    28 2695 5344  0  0 99  0  0
 0  0      0 6103856 142260 7265148    0    0     0   568 4133 7423  1  1 96  2  0
 0  0      0 6103872 142260 7265140    0    0     0    14 2499 5265  0  0 99  0  0
 0  0      0 6104376 142260 7265136    0    0     0    68 2638 5482  0  0 99  0  0
 0  0      0 6103840 142260 7265136    0    0     0    53 2718 5427  1  0 99  0  0
 0  0      0 6104092 142260 7265164    0    0     0    65 2624 5241  0  0 99  0  0
 0  0      0 6104092 142260 7265156    0    0     0    45 2703 5287  0  0 99  0  0
 0  0      0 6104092 142260 7265156    0    0     0    70 2751 5367  1  0 99  0  0
 0  0      0 6104092 142260 7265164    0    0     0    28 2635 5263  1  0 99  0  0
 0  0      0 6104092 142260 7265172    0    0     0    79 2741 5342  0  0 99  0  0
 1  0      0 6104092 142260 7265168    0    0     0    35 2532 5131  1  0 99  0  0
 0  0      0 6103840 142260 7265224    0    0     0    15 2625 5228  1  0 99  0  0
 0  0      0 6103888 142260 7265184    0    0     0    54 2423 4985  0  0 99  0  0
 1  0      0 6104140 142260 7265192    0    0     0   538 4048 7280  1  1 96  2  0
 0  0      0 6104076 142260 7265224    0    0     0    14 2343 5018  0  0 99  0  0
 1  0      0 6104076 142260 7265212    0    0     0    72 2663 5259  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6104328 142260 7265212    0    0     0    54 2516 5139  1  0 99  0  0
 0  0      0 6103824 142260 7265212    0    0     0    16 2678 5328  1  0 99  0  0
 0  0      0 6103760 142260 7265216    0    0     0    17 2805 5557  0  0 99  0  0
 0  0      0 6103508 142260 7265220    0    0     0    18 2708 5689  0  0 99  0  0
